iter	Passed	Remaining
415	2716	3812
416	2722	3805
417	2728	3798
418	2734	3791
419	2740	3784
420	2746	3776
421	2752	3769
422	2758	3763
423	2765	3756
424	2771	3750
425	2778	3743
426	2784	3736
427	2789	3728
428	2795	3721
429	2801	3713
430	2807	3706
431	2813	3698
432	2819	3692
433	2825	3685
434	2831	3678
435	2837	3671
436	2843	3663
437	2849	3656
438	2855	3649
439	2861	3642
440	2867	3635
441	2873	3627
442	2880	3622
443	2886	3614
444	2892	3607
445	2899	3601
446	2905	3594
447	2911	3586
448	2917	3579
449	2923	3572
450	2929	3566
451	2936	3559
452	2942	3553
453	2948	3546
454	2954	3539
455	2960	3531
456	2966	3524
457	2972	3517
458	2978	3510
459	2984	3503
460	2990	3496
461	2996	3489
462	3002	3481
463	3008	3474
464	3014	3467
465	3020	3461
466	3026	3454
467	3032	3447
468	3038	3440
469	3044	3433
470	3050	3426
471	3056	3419
472	3062	3412
473	3068	3405
474	3074	3398
475	3080	3391
476	3086	3384
477	3092	3377
478	3098	3370
479	3104	3363
480	3111	3357
481	3119	3352
482	3126	3346
483	3133	3340
484	3139	3334
485	3146	3327
486	3153	3321
487	3160	3315
488	3167	3309
489	3174	3304
490	3181	3298
491	3188	3291
492	3194	3285
493	3201	3279
494	3208	3273
495	3214	3266
496	3221	3260
497	3228	3254
498	3235	3248
499	3241	3241
500	3248	3235
501	3255	3229
502	3261	3222
503	3268	3216
504	3274	3209
505	3280	3202
506	3286	3195
507	3292	3188
508	3297	3181
509	3303	3174
510	3309	3166
511	3315	3159
512	3321	3152
513	3327	3145
514	3333	3138
515	3339	3132
516	3346	3126
517	3352	3119
518	3358	3112
519	3364	3105
520	3369	3098
521	3375	3091
522	3381	3084
523	3387	3077
524	3393	3070
525	3399	3063
526	3405	3056
527	3411	3050
528	3417	3043
529	3423	3036
530	3429	3029
531	3436	3022
532	3442	3016
533	3448	3009
534	3454	3002
535	3460	2995
536	3466	2988
537	3472	2981
538	3477	2974
539	3483	2967
540	3489	2960
541	3495	2953
542	3502	2947
543	3508	2941
544	3514	2934
545	3520	2927
546	3526	2920
547	3532	2913
548	3538	2906
549	3544	2900
550	3550	2893
551	3556	2886
552	3562	2879
553	3568	2873
554	3574	2866
555	3580	2859
556	3586	2852
557	3592	2845
558	3598	2838
559	3604	2831
560	3610	2825
561	3616	2818
562	3622	2811
563	3628	2804
564	3633	2797
565	3639	2790
566	3645	2784
567	3651	2777
568	3657	2770
569	3664	2764
570	3670	2757
571	3676	2750
572	3682	2743
573	3687	2737
574	3694	2730
575	3700	2724
576	3707	2717
577	3713	2711
578	3719	2704
579	3725	2698
580	3731	2691
581	3738	2684
582	3744	2678
583	3750	2671
584	3756	2664
585	3762	2658
586	3768	2651
587	3774	2644
588	3780	2638
589	3786	2631
590	3792	2624
591	3797	2617
592	3803	2610
593	3809	2603
594	3815	2596
595	3821	2590
596	3826	2583
597	3832	2576
598	3838	2569
599	3845	2563
600	3851	2556
601	3857	2550
602	3863	2543
603	3868	2536
604	3874	2529
605	3880	2523
606	3886	2516
607	3892	2509
608	3898	2503
609	3904	2496
610	3910	2489
611	3916	2482
612	3922	2476
613	3928	2469
614	3934	2462
615	3939	2456
616	3945	2449
617	3951	2442
618	3957	2435
619	3963	2429
620	3969	2422
621	3975	2415
622	3981	2409
623	3987	2402
624	3992	2395
625	3999	2389
626	4004	2382
627	4011	2375
628	4016	2369
629	4022	2362
630	4028	2355
631	4034	2349
632	4040	2342
633	4046	2335
634	4052	2329
635	4058	2322
636	4064	2316
637	4070	2309
638	4076	2303
639	4082	2296
640	4088	2290
641	4094	2283
642	4101	2277
643	4107	2270
644	4114	2264
645	4119	2257
646	4125	2251
647	4131	2244
648	4138	2238
649	4144	2231
650	4150	2224
651	4156	2218
652	4162	2211
653	4168	2205
654	4174	2198
655	4181	2192
656	4187	2185
657	4193	2179
658	4199	2173
659	4206	2166
660	4213	2160
661	4219	2154
662	4225	2147
663	4231	2141
664	4237	2134
665	4244	2128
666	4250	2121
667	4256	2115
668	4262	2109
669	4269	2103
670	4276	2097
671	4283	2090
672	4289	2084
673	4295	2077
674	4301	2071
675	4307	2064
676	4314	2058
677	4320	2051
678	4326	2045
679	4332	2038
680	4338	2032
681	4344	2025
682	4350	2019
683	4356	2012
684	4362	2006
685	4368	1999
686	4374	1993
687	4380	1986
688	4387	1980
689	4393	1973
690	4399	1967
691	4405	1960
692	4411	1954
693	4416	1947
694	4422	1940
695	4428	1934
696	4434	1927
697	4440	1921
698	4446	1914
699	4452	1908
700	4458	1901
701	4464	1895
