iter	Logloss
0	0.6530780917
1	0.6145177981
2	0.5766209801
3	0.5415530034
4	0.5130542064
5	0.4837851806
6	0.4564602343
7	0.4313103191
8	0.4116554832
9	0.3939825411
10	0.3766014402
11	0.3586297335
12	0.343967445
13	0.3291308101
14	0.3159696641
15	0.3033503799
16	0.2903803219
17	0.2776077279
18	0.2689954287
19	0.2595805227
20	0.2531354009
21	0.2440110678
22	0.2369073051
23	0.229436708
24	0.2207229044
25	0.2151385489
26	0.2091616519
27	0.2029302693
28	0.197279819
29	0.192659467
30	0.1875578686
31	0.1833410787
32	0.179246558
33	0.1751847113
34	0.1707336802
35	0.1670484134
36	0.1648229913
37	0.161843564
38	0.1583950997
39	0.1558224313
40	0.1535822259
41	0.1512993841
42	0.1488431099
43	0.1457156756
44	0.1430819115
45	0.1405598152
46	0.1387022411
47	0.136177596
48	0.1345898614
49	0.1326114978
50	0.1309597883
51	0.1292482959
52	0.1279281743
53	0.1263465394
54	0.124986309
55	0.1233411047
56	0.1217818102
57	0.1199841306
58	0.1187330305
59	0.1178668594
60	0.116617468
61	0.1154021275
62	0.1144427749
63	0.1133878699
64	0.1121248407
65	0.111133915
66	0.1102254415
67	0.1090841649
68	0.1080883835
69	0.1075334538
70	0.1065638874
71	0.1060533201
72	0.1050061378
73	0.1041136375
74	0.1034487635
75	0.1026895894
76	0.101817358
77	0.1012046909
78	0.1005262248
79	0.09979703289
80	0.09902862345
81	0.09839862066
82	0.09777841921
83	0.09745861491
84	0.09697714202
85	0.09633714925
86	0.0959254114
87	0.09509026667
88	0.09468511358
89	0.09402956074
90	0.09329504303
91	0.09289577847
92	0.09248954022
93	0.09185270463
94	0.09144511382
95	0.09104315666
96	0.09043521894
97	0.08978722457
98	0.08943429421
99	0.08878921304
100	0.08832343717
101	0.08788943456
102	0.08754546216
103	0.08706730855
104	0.08664605981
105	0.08615734202
106	0.08575970459
107	0.08545327211
108	0.08519159354
109	0.08496919553
110	0.08462786304
111	0.08436113902
112	0.08367735055
113	0.08322743336
114	0.08298391427
115	0.08270340486
116	0.0820548206
117	0.08180895772
118	0.08152822269
