RDATE,INDUSTRY,MEAN_SENT,Risk,Predict,Total_News,article_ratio,Total_Volume,trade_volum_ratio
2025-10-23,자동차,0.7689496,5.058179185644219,0,329,0.45593,39160385,0.19138
2025-10-24,자동차,0.82286066,3.4621141459077487,0,249,0.38153,58994933,0.13904
2025-10-27,자동차,0.76382416,2.242827449708172,0,336,0.36905,69587383,0.09799
2025-10-28,자동차,0.8653179,3.5645575072560214,0,430,0.39767,45051645,0.13093
2025-10-29,자동차,0.8622507,7.639162614138644,0,482,0.48755,66919356,0.24993
2025-10-30,자동차,0.7793228,11.625158477072727,0,600,0.59,58766270,0.37943
2025-10-31,자동차,0.771214,7.390353906921751,0,418,0.58612,71163922,0.23089
2025-11-03,자동차,0.787087,4.243220171721009,0,407,0.43735,59477412,0.1602
2025-11-04,자동차,0.7647422,3.2122597298608992,0,312,0.40385,71043328,0.13182
2025-11-05,자동차,0.6430803,3.1196817692709535,0,308,0.3474,90831487,0.17668
2025-11-06,자동차,0.86121213,5.231874612376996,0,309,0.42071,62256839,0.18887
2025-11-07,자동차,0.78192925,5.5268392528368695,0,240,0.4125,52595920,0.22711
2025-11-10,자동차,0.7823678,6.546020108704568,0,286,0.33217,42619243,0.33874
2025-11-11,자동차,0.7592098,5.543766487068427,0,286,0.37413,51407912,0.25829
2025-11-12,자동차,0.8377646,4.761969705941389,0,311,0.37621,61537988,0.19483
2025-11-13,자동차,0.85960984,3.761133144055602,0,325,0.41846,68989956,0.13333
2025-11-14,자동차,0.7841453,4.202514812679535,0,311,0.47267,54071262,0.1485
2025-11-17,자동차,0.79297644,2.874693366738067,0,307,0.43322,58907587,0.10597
2025-11-18,자동차,0.79725283,3.65162738316541,0,281,0.3452,41157269,0.16702
2025-11-19,자동차,0.71820575,3.380048980244076,0,302,0.34106,39508286,0.17395
2025-11-20,자동차,0.8138863,3.1753120770137513,0,313,0.32268,40235945,0.1497
2025-11-21,자동차,0.8785017,5.6102868844885485,0,211,0.42654,36673827,0.19694
2025-11-24,자동차,0.78052115,3.910091016879013,0,289,0.3391,41525808,0.18716
2025-11-25,자동차,0.76352906,3.581321981597413,0,284,0.3169,35322274,0.18577
2025-11-26,자동차,0.823385,5.441999730863822,0,309,0.3301,44324565,0.26074
2025-11-27,자동차,0.8495243,5.0192383937285845,0,367,0.23433,43826564,0.32398
2025-11-28,자동차,0.8189252,6.088679069099642,0,288,0.35417,63770331,0.27791
2025-12-01,자동차,0.8564834,5.443660438490644,0,792,0.41288,58392706,0.20189
2025-12-02,자동차,0.7864201,10.29484023251152,0,564,0.45745,58741587,0.41556
2025-12-03,자동차,0.8283196,5.364563051860446,0,592,0.43412,71860974,0.19677
2025-12-04,자동차,0.86215717,9.57354833260068,0,722,0.49861,69638077,0.31586
2025-12-05,자동차,0.8664057,6.537763907406919,0,471,0.39703,89751559,0.25319
2025-12-08,자동차,0.8205878,4.816842868320171,0,631,0.43899,80754872,0.17503
2025-12-09,자동차,0.8211853,4.570114218078097,0,629,0.38633,65766120,0.18574
2025-12-10,자동차,0.8190674,4.8479999162351985,0,545,0.40734,57835302,0.18913
2025-12-11,자동차,0.8418289,3.3356945937946603,0,551,0.4029,131355304,0.12417
2025-12-12,자동차,0.7817623,1.8070689086982266,0,495,0.38586,144856493,0.07341
2025-12-15,자동차,0.77501273,1.43564653886336,0,477,0.36059,144788403,0.06201
2025-12-16,자동차,0.8191355,2.741406385261074,0,671,0.39344,139052143,0.10614
2025-12-17,자동차,0.76096934,5.124291047353197,0,605,0.44959,101148584,0.19886
2025-12-18,자동차,0.69737047,2.1575143540914103,0,707,0.36492,91788855,0.10456
2025-12-19,자동차,0.8336478,3.44126239717103,0,408,0.31618,78983677,0.16213
2025-10-01,헬스케어,0.840384,12.547738582537274,0,437,0.36156,30751473,0.6222
2025-10-02,헬스케어,0.84214944,12.171856079614503,0,280,0.38571,35183514,0.55747
2025-10-10,헬스케어,0.83603305,11.300022934208979,0,179,0.4581,47060285,0.43103
2025-10-13,헬스케어,0.8582035,14.701454912568169,0,323,0.51703,34617515,0.5084
2025-10-14,헬스케어,0.7933058,7.842096776770938,0,328,0.43293,67871370,0.31628
2025-10-15,헬스케어,0.8118079,5.998320596775012,0,378,0.41799,69637803,0.23562
2025-10-16,헬스케어,0.80404943,8.990047039075572,0,323,0.39009,55275069,0.4042
2025-10-17,헬스케어,0.8360603,12.673623416976476,0,318,0.43082,60811122,0.52674
2025-10-20,헬스케어,0.8945486,11.552626711704294,0,347,0.34294,44375640,0.54958
2025-10-21,헬스케어,0.68954307,12.53837396489451,0,357,0.48739,66462415,0.5809
2025-10-22,헬스케어,0.7458596,10.266578749432012,0,418,0.38756,32929592,0.52232
2025-10-23,헬스케어,0.74824846,10.84567325826302,0,329,0.38298,39160385,0.56367
2025-10-24,헬스케어,0.8246639,11.757061551841419,0,249,0.40964,58994933,0.51474
2025-10-27,헬스케어,0.8704401,15.87716047360834,0,336,0.41369,69587383,0.69362
2025-10-28,헬스케어,0.8268454,13.543211771168732,0,430,0.41163,45051645,0.6082
2025-10-29,헬스케어,0.76718867,9.246545946232708,0,482,0.3278,66919356,0.52974
2025-10-30,헬스케어,0.8494769,7.65820645301092,0,600,0.30167,58766270,0.40768
2025-10-31,헬스케어,0.7629743,5.462993334803235,0,418,0.22727,71163922,0.41854
2025-11-03,헬스케어,0.8655894,13.121677234536012,0,407,0.42752,59477412,0.53096
2025-11-04,헬스케어,0.8643692,14.447647443391043,0,312,0.37179,71043328,0.6968
2025-11-05,헬스케어,0.797659,15.329119581314316,0,308,0.45779,90831487,0.66505
2025-11-06,헬스케어,0.82565457,13.173030634696694,0,309,0.37864,62256839,0.64358
2025-11-07,헬스케어,0.805071,9.584987273001198,0,240,0.35,52595920,0.48694
2025-11-10,헬스케어,0.86858785,13.009796594715517,0,286,0.43357,42619243,0.51568
2025-11-11,헬스케어,0.79349613,12.879887483127932,0,286,0.41608,51407912,0.59452
2025-11-12,헬스케어,0.8265806,16.53905073402834,0,311,0.45659,61537988,0.70236
2025-11-13,헬스케어,0.86341906,18.940257574563898,0,325,0.47692,68989956,0.7551
2025-11-14,헬스케어,0.8156691,15.604588234734704,0,311,0.42765,54071262,0.71145
2025-11-17,헬스케어,0.86023635,15.821182820972771,0,307,0.37459,58907587,0.78259
2025-11-18,헬스케어,0.83728594,15.31256583312522,0,281,0.44484,41157269,0.64373
2025-11-19,헬스케어,0.81826854,14.705352987056994,0,302,0.43709,39508286,0.64148
2025-11-20,헬스케어,0.754047,14.07564678153235,0,313,0.41853,40235945,0.7056
2025-11-21,헬스케어,0.8198002,12.184520705873599,0,211,0.34597,36673827,0.64911
2025-11-24,헬스케어,0.7392264,14.38065837460065,0,289,0.46367,41525808,0.6664
2025-11-25,헬스케어,0.73655534,15.451012007789563,0,284,0.50704,35322274,0.66772
2025-11-26,헬스케어,0.8467998,13.879353367077488,0,309,0.44337,44324565,0.56304
2025-11-27,헬스케어,0.8620513,10.767674660638281,0,367,0.38147,43826564,0.47187
2025-11-28,헬스케어,0.8068684,10.265887193772983,0,288,0.37847,63770331,0.48645
