,지역명,전용면적,연도,월,평당분양가격
127,세종,60m²~85m²,2015,11,8797.8
128,세종,85m²~102m²,2015,11,8725.199999999999
129,세종,102m²~,2015,11,9071.699999999999
130,강원,모든면적,2015,11,7164.299999999999
131,강원,60m²,2015,11,7563.599999999999
132,강원,60m²~85m²,2015,11,7236.9
133,강원,85m²~102m²,2015,11,6801.299999999999
134,강원,102m²~,2015,11,7164.299999999999
135,충북,모든면적,2015,11,6613.2
136,충북,60m²,2015,11,6339.299999999999
137,충북,60m²~85m²,2015,11,6649.5
138,충북,85m²~102m²,2015,11,6164.4
139,충북,102m²~,2015,11,7514.099999999999
140,충남,모든면적,2015,11,6930.0
141,충남,60m²,2015,11,7306.2
142,충남,60m²~85m²,2015,11,6946.5
143,충남,85m²~102m²,2015,11,8325.9
144,충남,102m²~,2015,11,8144.4
145,전북,모든면적,2015,11,6788.099999999999
146,전북,60m²,2015,11,7025.7
147,전북,60m²~85m²,2015,11,6788.099999999999
148,전북,85m²~102m²,2015,11,7844.099999999999
149,전북,102m²~,2015,11,7530.599999999999
150,전남,모든면적,2015,11,6299.7
151,전남,60m²,2015,11,6596.7
152,전남,60m²~85m²,2015,11,6289.799999999999
153,전남,85m²~102m²,2015,11,7464.599999999999
154,전남,102m²~,2015,11,7180.799999999999
155,경북,모든면적,2015,11,7227.0
156,경북,60m²,2015,11,7293.0
157,경북,60m²~85m²,2015,11,7213.799999999999
158,경북,85m²~102m²,2015,11,8302.8
159,경북,102m²~,2015,11,7821.0
160,경남,모든면적,2015,11,7583.4
161,경남,60m²,2015,11,7260.0
162,경남,60m²~85m²,2015,11,7662.599999999999
163,경남,85m²~102m²,2015,11,9834.0
164,경남,102m²~,2015,11,10041.9
165,제주,모든면적,2015,11,7365.599999999999
166,제주,60m²,2015,11,
167,제주,60m²~85m²,2015,11,7342.5
168,제주,85m²~102m²,2015,11,8523.9
169,제주,102m²~,2015,11,8494.199999999999
170,서울,모든면적,2015,12,19935.3
171,서울,60m²,2015,12,20859.3
172,서울,60m²~85m²,2015,12,19687.8
173,서울,85m²~102m²,2015,12,21492.899999999998
174,서울,102m²~,2015,12,21618.3
175,인천,모든면적,2015,12,10507.199999999999
176,인천,60m²,2015,12,10982.4
177,인천,60m²~85m²,2015,12,10292.699999999999
178,인천,85m²~102m²,2015,12,11698.5
179,인천,102m²~,2015,12,11246.4
180,경기,모든면적,2015,12,10553.4
181,경기,60m²,2015,12,10866.9
182,경기,60m²~85m²,2015,12,10936.199999999999
183,경기,85m²~102m²,2015,12,11381.699999999999
184,경기,102m²~,2015,12,12705.0
185,부산,모든면적,2015,12,10319.099999999999
186,부산,60m²,2015,12,9738.3
187,부산,60m²~85m²,2015,12,10005.6
188,부산,85m²~102m²,2015,12,9758.1
189,부산,102m²~,2015,12,12338.699999999999
190,대구,모든면적,2015,12,9774.6
191,대구,60m²,2015,12,10830.599999999999
192,대구,60m²~85m²,2015,12,9804.3
193,대구,85m²~102m²,2015,12,8355.6
194,대구,102m²~,2015,12,9051.9
195,광주,모든면적,2015,12,8170.799999999999
196,광주,60m²,2015,12,7903.5
197,광주,60m²~85m²,2015,12,8213.699999999999
198,광주,85m²~102m²,2015,12,
199,광주,102m²~,2015,12,
200,대전,모든면적,2015,12,8098.2
201,대전,60m²,2015,12,8530.5
202,대전,60m²~85m²,2015,12,8012.4
203,대전,85m²~102m²,2015,12,8121.299999999999
204,대전,102m²~,2015,12,
205,울산,모든면적,2015,12,10041.9
206,울산,60m²,2015,12,8527.199999999999
207,울산,60m²~85m²,2015,12,10058.4
208,울산,85m²~102m²,2015,12,8787.9
209,울산,102m²~,2015,12,9484.199999999999
210,세종,모든면적,2015,12,8794.5
211,세종,60m²,2015,12,8583.3
